130,99
101,70
99,70
70,99
130,98
102,70
98,70
70,98
130,97
103,70
97,70
70,97
130,96
104,70
96,70
70,96
129,95
105,71
95,71
71,95
129,94
106,71
94,71
71,94
129,93
107,71
93,71
71,93
129,92
108,71
92,71
71,92
128,91
109,72
91,72
72,91
128,90
110,72
90,72
72,90
127,89
111,73
89,73
73,89
127,88
112,73
88,73
73,88
126,87
113,74
87,74
74,87
126,86
114,74
86,74
74,86
125,85
115,75
85,75
75,85
125,84
116,75
84,75
75,84
124,83
117,76
83,76
76,83
123,82
118,77
82,77
77,82
122,81
119,78
81,78
78,81
121,80
120,79
80,79
79,80
120,79
121,80
79,80
80,79
