101,130
130,101
130, 99
101, 70
 99, 70
 70, 99
 70,101
 99,130
102,130
130,102
130, 98
102, 70
 98, 70
 70, 98
 70,102
 98,130
103,130
130,103
130, 97
103, 70
 97, 70
 70, 97
 70,103
 97,130
104,130
130,104
130, 96
104, 70
 96, 70
 70, 96
 70,104
 96,130
105,129
129,105
129, 95
105, 71
 95, 71
 71, 95
 71,105
 95,129
106,129
129,106
129, 94
106, 71
 94, 71
 71, 94
 71,106
 94,129
107,129
129,107
129, 93
107, 71
 93, 71
 71, 93
 71,107
 93,129
108,129
129,108
129, 92
108, 71
 92, 71
 71, 92
 71,108
 92,129
109,128
128,109
128, 91
109, 72
 91, 72
 72, 91
 72,109
 91,128
110,128
128,110
128, 90
110, 72
 90, 72
 72, 90
 72,110
 90,128
111,127
127,111
127, 89
111, 73
 89, 73
 73, 89
 73,111
 89,127
112,127
127,112
127, 88
112, 73
 88, 73
 73, 88
 73,112
 88,127
113,126
126,113
126, 87
113, 74
 87, 74
 74, 87
 74,113
 87,126
114,126
126,114
126, 86
114, 74
 86, 74
 74, 86
 74,114
 86,126
115,125
125,115
125, 85
115, 75
 85, 75
 75, 85
 75,115
 85,125
116,125
125,116
125, 84
116, 75
 84, 75
 75, 84
 75,116
 84,125
117,124
124,117
124, 83
117, 76
 83, 76
 76, 83
 76,117
 83,124
118,123
123,118
123, 82
118, 77
 82, 77
 77, 82
 77,118
 82,123
119,122
122,119
122, 81
119, 78
 81, 78
 78, 81
 78,119
 81,122
120,121
121,120
121, 80
120, 79
 80, 79
 79, 80
 79,120
 80,121
121,120
120,121
120, 79
121, 80
 79, 80
 80, 79
 80,121
 79,120
